sub,ses,task,edf_start,edf_duration_s,edf_n_signals,edf_fs,json_fs,json_duration_s,n_events,first_event_s,last_event_s,ecg_exists,button_exists,ecg_fs,ecg_duration_s,ecg_start_declared
sub-011,ses-03,activemotor,2024-02-14 16:05:47,215.999568,33,250.00050000099998,250.00038784916032,215.999568,19,25.0,199.0,True,False,1916.40426546258,215.00004327142597,0.0
sub-011,ses-03,full,2024-02-12 10:45:06,215.999568,33,250.00050000099998,250.00038784916032,215.999568,73,25.0,203.5,True,False,1916.40426546258,215.00004327142597,0.0
sub-011,ses-03,mentalarithmetic,2024-02-12 08:42:55,215.999568,33,250.00050000099998,250.00038784916032,215.999568,73,25.0,203.5,True,False,1916.40426546258,215.00004327142597,0.0
sub-011,ses-03,motorimagery,2023-12-15 11:49:39,215.999568,33,250.00050000099998,250.00038784916032,215.999568,19,25.0,198.0,True,False,1916.40426546258,215.00004327142597,0.0
sub-011,ses-03,nback,2023-12-12 15:53:47,215.999568,33,250.00050000099998,250.00038784916032,215.999568,121,25.0,204.5,True,True,1916.40426546258,215.00004327142597,0.0
sub-011,ses-03,nbackarithmetic,2024-02-12 09:39:10,215.999568,33,250.00050000099998,250.00038784916032,215.999568,73,25.0,203.5,True,True,1916.40426546258,215.00004327142597,0.0
sub-011,ses-03,passivemotor,2024-02-19 12:16:57,215.999568,33,250.00050000099998,250.00038784916032,215.999568,19,25.0,194.0,True,False,1916.40426546258,215.00004327142597,0.0
sub-012,ses-01,motorimagery,2023-12-15 11:52:41,215.000215,33,249.99975000025003,249.99984988253266,215.00021499999997,19,25.0,200.0,True,False,1999.7799042705753,215.00016030855477,0.0
sub-012,ses-01,nback,2023-12-12 15:57:51,215.000215,33,249.99975000025003,249.99984988253266,215.00021499999997,121,25.0,204.5,True,False,1999.7799042705753,215.00016030855477,0.0
sub-012,ses-01,passivemotor,2024-02-19 12:19:10,215.000215,33,249.99975000025003,249.99984988253266,215.00021499999997,19,25.0,194.0,False,False,,,
sub-012,ses-02,motorimagery,2023-12-15 11:54:00,215.999352,33,250.00075000225,250.00074846544865,215.99935200000002,19,25.0,198.0,True,False,1999.9789504687124,215.00026282737963,0.0
sub-012,ses-02,nback,2023-12-12 15:59:58,215.999352,33,250.00075000225,250.00074846544865,215.99935200000002,121,25.0,204.5,True,False,1999.9789504687124,215.00026282737963,0.0
sub-012,ses-02,passivemotor,2024-02-19 12:20:22,215.999352,33,250.00075000225,250.00074846544865,215.99935200000002,19,25.0,194.0,False,False,,,
sub-012,ses-03,motorimagery,2023-12-15 11:55:17,215.999568,33,250.00050000099998,250.00059930751343,215.999568,19,25.0,198.0,True,False,1999.5473846873308,215.000156181457,0.0
sub-012,ses-03,nback,2023-12-12 16:01:32,215.999568,33,250.00050000099998,250.00059930751343,215.999568,121,25.0,204.5,True,False,1999.5473846873308,215.000156181457,0.0
sub-013,ses-01,nback,2023-12-12 16:06:53,215.999568,33,250.00050000099998,250.00041146767637,215.999568,121,25.0,204.5,True,True,1999.0007116140014,215.0004237132007,0.0
sub-013,ses-01,passivemotor,2024-02-19 12:22:17,215.999568,33,250.00050000099998,250.00041146767637,215.999568,19,25.0,194.0,True,False,1999.0007116140014,215.0004237132007,0.0
sub-013,ses-02,motorimagery,2023-12-15 12:05:19,215.999568,33,250.00050000099998,250.0004295723662,215.999568,19,25.0,198.0,True,False,2001.5191283533356,215.000193554999,0.0
sub-013,ses-02,nback,2023-12-12 16:07:51,215.999568,33,250.00050000099998,250.0004295723662,215.999568,121,25.0,204.5,True,True,2001.5191283533356,215.000193554999,0.0
sub-013,ses-02,passivemotor,2024-02-19 12:23:42,215.999568,33,250.00050000099998,250.0004295723662,215.999568,19,25.0,194.0,True,False,2001.5191283533356,215.000193554999,0.0
sub-013,ses-03,motorimagery,2023-12-15 12:06:03,215.999568,33,250.00050000099998,250.0005021616826,215.999568,19,25.0,198.0,True,False,1998.5939967688194,215.00014544960322,0.0
sub-013,ses-03,nback,2023-12-12 16:09:38,215.999568,33,250.00050000099998,250.0005021616826,215.999568,121,25.0,204.5,True,True,1998.5939967688194,215.00014544960322,0.0
sub-013,ses-03,passivemotor,2024-02-19 12:25:23,215.999568,33,250.00050000099998,250.0005021616826,215.999568,19,25.0,194.0,True,False,1998.5939967688194,215.00014544960322,0.0
sub-014,ses-02,full,2024-02-12 10:46:41,215.999568,33,250.00050000099998,250.00042468381545,215.999568,73,25.0,203.5,True,False,1859.7005647124436,215.0002035740763,0.0
