sub,ses,task,eeg_fs,n_bins,eeg_ok_bins,eeg_std_uV_median,ecg_beats,ecg_coverage,hr_file,rmssd_file,clock_source
sub-007,ses-02,mentalarithmetic,250.00100000400002,21,19,215.62956767607088,326,0.9949904688016868,91.43475124283077,28.32292085760935,declared_unverified
sub-007,ses-02,motorimagery,250.00100000400002,21,18,208.04098652279018,317,0.9910161613901984,88.70384084054598,29.354690186619244,declared_unverified
sub-007,ses-02,nback,250.00100000400002,21,19,226.1991503914434,331,0.995111839866349,92.82580163840595,23.435444554354696,declared_unverified
sub-007,ses-02,passivemotor,250.00100000400002,21,20,223.46449489846964,309,0.9932841344220239,86.5346070871751,26.15283895310689,declared_unverified
sub-007,ses-03,activemotor,250.00100000400002,21,19,187.39679951728874,319,0.995554660856385,89.42063534949399,29.050998887503006,declared_unverified
sub-007,ses-03,full,250.00100000400002,21,20,189.22270960511133,334,0.9962509473285336,93.55993202168354,22.510839837084358,declared_unverified
sub-007,ses-03,mentalarithmetic,250.00100000400002,21,19,201.35578756595777,323,0.9886249526335733,90.61198466440717,23.735271961080826,declared_unverified
sub-007,ses-03,motorimagery,250.00100000400002,21,19,185.09204794038675,325,0.9967956612353164,90.98910646380084,22.34306551273585,declared_unverified
sub-007,ses-03,nback,250.00100000400002,21,19,185.3377951063921,322,0.9734961159530126,92.02016071649886,21.50796167972563,event_matched
sub-007,ses-03,nbackarithmetic,250.00100000400002,21,20,181.03756024857935,331,0.968707370215991,95.06781536321988,19.32699630524173,event_matched
sub-007,ses-03,passivemotor,250.00100000400002,21,20,185.24081481854768,0,,,,declared_unverified
sub-008,ses-03,activemotor,250.00025000025002,21,16,966.7851880371164,266,0.9949012169915288,74.61283152327798,34.23599336833795,declared_unverified
sub-008,ses-03,full,250.00025000025002,21,20,925.8506956682521,277,0.9975168264569134,77.49459017521711,31.369895081061625,declared_unverified
sub-008,ses-03,mentalarithmetic,250.00025000025002,21,19,957.1647738022987,256,0.997526286165649,71.61886986262883,39.89182758658585,declared_unverified
sub-008,ses-03,motorimagery,250.00025000025002,21,20,925.4063059304788,262,0.9964691637144493,73.37519604545221,34.24529035325052,declared_unverified
sub-008,ses-03,nback,250.00025000025002,21,20,943.1723486793742,255,0.9826650837420716,72.41799600860074,35.302389882371514,event_matched
sub-008,ses-03,nbackarithmetic,250.00025000025002,21,20,992.696548957714,272,0.9972921583744436,76.11291356864317,30.86081684603245,declared_unverified
sub-008,ses-03,passivemotor,250.00025000025002,21,16,948.2867125741541,249,0.9958542826466373,69.7774989330793,37.117317881758545,declared_unverified
sub-009,ses-01,activemotor,249.99975000025003,21,0,7369.048388892049,238,0.9948962369553331,66.75919110072108,49.94643399719123,declared_unverified
sub-009,ses-01,full,249.99975000025003,21,0,7310.622350416624,260,0.9979889224332612,72.70420405493894,34.76487530449331,declared_unverified
sub-009,ses-01,mentalarithmetic,249.99975000025003,21,0,7360.824629961479,242,0.9971545391874866,67.72746061665367,41.04201087425372,declared_unverified
sub-009,ses-01,motorimagery,249.99975000025003,21,0,7354.377204765353,235,0.996301138659757,65.82473700328606,35.680494445301974,declared_unverified
