pid,feature,cycle,n_ref_bins,ref_median,ref_scale,scale_flag,n_challenge_valid,n_recovery_valid,resp_phys,resp_z,burden,t_depart_b1.5,return_time_b1.5,status_b1.5,t_depart_b2.0,return_time_b2.0,status_b2.0,residual_60,residual_180,residual_360,t_depart_b2.5,return_time_b2.5,status_b2.5,resp_phys_preref
p16,eeg_central_alpha,1,17,0.5841866845384217,0.05485205364939218,False,36,35,-0.09302563980059197,-1.6959372277144054,601.1747743390079,100.0,70.0,returned,100.0,60.0,returned,-0.5567875627109021,-2.864667012446158,-0.419640369332595,,,not_estimable,
p16,eeg_central_alpha,2,17,0.5841866845384217,0.05485205364939218,False,4,0,-0.06127196548091007,-1.1170405008452948,51.23477222253751,,,ambiguous_timing,,,ambiguous_timing,,,,,,ambiguous_timing,-0.0032892087092113442
p16,eeg_parietal_alpha,1,17,0.6012487552164582,0.05,True,36,35,-0.021244347706188882,-0.42488695412377764,350.4725214490204,,,not_estimable,,,not_estimable,-0.7127193565758727,-2.572802262386827,0.43113712472208965,,,not_estimable,
p16,eeg_parietal_alpha,2,17,0.6012487552164582,0.05,True,4,0,-0.025391498045749583,-0.5078299609149917,34.18825116482124,,,ambiguous_timing,,,ambiguous_timing,,,,,,ambiguous_timing,0.008799686691820185
p16,eeg_occipital_alpha,1,17,0.6443678636922183,0.0604216422253779,False,36,35,0.0011302632130082424,0.018706264367861172,304.52624724030693,,,not_estimable,,,not_estimable,0.43699421060359933,-1.304140714024429,-0.7392989710245935,,,not_estimable,
p16,eeg_occipital_alpha,2,17,0.6443678636922183,0.0604216422253779,False,4,0,-0.044365773383580054,-0.7342695721194058,30.316262533741835,,,ambiguous_timing,,,ambiguous_timing,,,,,,ambiguous_timing,-0.008586297553369815
p16,eeg_central_beta,1,17,0.540152689064018,0.060221910311170336,False,36,35,0.027072818612842386,0.4495509769277579,282.8927062742261,,,not_estimable,,,not_estimable,-0.07818217580998245,-1.6179691858461023,-0.16903136972206623,,,not_estimable,
p16,eeg_central_beta,2,17,0.540152689064018,0.060221910311170336,False,4,0,-0.039860726319970174,-0.6618974076711832,25.1439502364863,,,ambiguous_timing,,,ambiguous_timing,,,,,,ambiguous_timing,-0.04313054855920928
p16,eeg_parietal_beta,1,17,0.6310940128782341,0.0514222906791236,False,36,35,0.04087865979388061,0.7949599143485153,382.25514819509584,50.0,60.0,returned,,,not_estimable,0.6757307339162915,-1.22900169029776,-0.1057398132631237,,,not_estimable,
p16,eeg_parietal_beta,2,17,0.6310940128782341,0.0514222906791236,False,4,0,-0.03940120698888827,-0.76622815647698,42.614421205598816,,,ambiguous_timing,,,ambiguous_timing,,,,,,ambiguous_timing,-0.04626754952496248
