pid,ses,task,file,demand_rank,n_rest_bins_session,n_task_bins_valid_eeg,clock_source,eeg_frontal_theta_resp_phys,eeg_frontal_theta_resp_own_rest_phys,eeg_frontal_theta_scale_flag,eeg_frontal_theta_resp_z,eeg_frontal_theta_burden,eeg_frontal_theta_t_depart_b1.5,eeg_frontal_theta_t_depart_b2.0,eeg_frontal_theta_t_depart_b2.5,eeg_frontal_theta_departed_b2,eeg_parietal_alpha_resp_phys,eeg_parietal_alpha_resp_own_rest_phys,eeg_parietal_alpha_scale_flag,eeg_parietal_alpha_resp_z,eeg_parietal_alpha_burden,eeg_parietal_alpha_t_depart_b1.5,eeg_parietal_alpha_t_depart_b2.0,eeg_parietal_alpha_t_depart_b2.5,eeg_parietal_alpha_departed_b2,eeg_occipital_alpha_resp_phys,eeg_occipital_alpha_resp_own_rest_phys,eeg_occipital_alpha_scale_flag,eeg_occipital_alpha_resp_z,eeg_occipital_alpha_burden,eeg_occipital_alpha_t_depart_b1.5,eeg_occipital_alpha_t_depart_b2.0,eeg_occipital_alpha_t_depart_b2.5,eeg_occipital_alpha_departed_b2,eeg_central_beta_resp_phys,eeg_central_beta_resp_own_rest_phys,eeg_central_beta_scale_flag,eeg_central_beta_resp_z,eeg_central_beta_burden,eeg_central_beta_t_depart_b1.5,eeg_central_beta_t_depart_b2.0,eeg_central_beta_t_depart_b2.5,eeg_central_beta_departed_b2,load_rating,hr_resp_phys,hr_resp_own_rest_phys,hr_scale_flag,hr_resp_z,hr_burden,hr_t_depart_b1.5,hr_t_depart_b2.0,hr_t_depart_b2.5,hr_departed_b2,error_rate_task,rt_mean_task,hits_task,n_targets_task
sub-021,ses-03,motorimagery,sub-021_ses-03_motorimagery,1,9,18,declared_unverified,-0.5851762408913055,-0.6027554225490057,False,-4.2313683653739576,744.9344470893301,20.0,20.0,20.0,True,-0.007970353173812339,0.0637958841522871,False,-0.054676710761911204,142.00501535247582,,,,False,-0.14875501439896965,-0.09835542332869107,False,-1.3906029808568567,299.1474757660287,150.0,,,False,-0.27192643217000323,-0.1874785941309498,False,-2.1653418877481814,386.9477853547357,10.0,50.0,150.0,True,1.0,,,,,,,,,,,,,
sub-021,ses-03,nback,sub-021_ses-03_nback,4,9,17,declared_unverified,-0.5831277457627421,-0.5290054357679094,False,-4.216555840739629,698.5143827495193,20.0,20.0,20.0,True,-0.25993852524983374,-0.3201699142730765,False,-1.7831811528327448,289.85449021497544,20.0,20.0,,True,-0.25727970649211584,-0.341124507892238,False,-2.4051217917423795,423.0648993811352,20.0,20.0,20.0,True,-0.22223301492069514,-0.23139467869750485,False,-1.7696347214510733,319.5672374250283,20.0,20.0,,True,3.0,,,,,,,,,,,,,
sub-021,ses-03,nbackarithmetic,sub-021_ses-03_nbackarithmetic,5,9,18,declared_unverified,-0.5114943402891572,-0.7552817651036043,False,-3.698579708688783,660.863188665004,20.0,20.0,20.0,True,-0.23839404239718565,-0.3131627348677466,False,-1.6353857626209787,293.8897967971638,50.0,50.0,,True,-0.2522306823234137,-0.26328210107879624,False,-2.357922118589956,392.1451147783909,50.0,50.0,50.0,True,-0.2015374961764942,-0.06077248399352486,False,-1.604836936741862,295.08856419125715,50.0,50.0,,True,6.0,,,,,,,,,,,,,
sub-022,ses-01,activemotor,sub-022_ses-01_activemotor,2,11,18,declared_unverified,-0.062205130503659056,0.008131801251519022,False,-0.2959451759052667,108.85420037848972,,,,False,-0.020075962041642192,-0.019506384683297462,False,-0.1703813765839224,196.22779140484613,,,,False,-0.12333509688893407,-0.012924803190002776,False,-0.6213246925319087,134.86138526429852,,,,False,-0.0056780303440413515,0.15097118436963353,False,-0.01226706569001931,32.50233843769361,,,,False,2.0,,,,,,,,,,,,,
sub-022,ses-01,full,sub-022_ses-01_full,6,11,18,declared_unverified,0.004583999499126801,0.30954387283341545,False,0.021808692098780117,68.11018878325987,,,,False,0.10504898681281394,0.19504408995367872,False,0.891533414179009,224.06899603353295,150.0,,,False,0.1553740362853322,0.2864363648891213,False,0.7827271211321141,188.80439922462867,150.0,,,False,0.092297796902294,0.2773573476786477,False,0.19940420692408894,63.3196991156872,,,,False,7.0,,,,,,,,,,,,,
sub-022,ses-01,mentalarithmetic,sub-022_ses-01_mentalarithmetic,3,11,17,declared_unverified,-0.13933357234143218,0.10188429899024931,False,-0.662889029284631,139.33769153844804,,,,False,0.0904375751246358,0.05256981816456441,False,0.7675287745954928,222.0806480915556,,,,False,0.10827399696524376,0.041803104101156396,False,0.5454514535648516,139.09309659414686,,,,False,-0.06770810537835259,-0.5056684034451902,False,-0.14627955930080808,54.442063275163875,,,,False,3.0,,,,,,,,,,,,,
sub-022,ses-01,motorimagery,sub-022_ses-01_motorimagery,1,11,17,declared_unverified,-0.14729725585309517,-0.15553168120489524,False,-0.7007767999336186,133.38886667989425,,,,False,0.128377591592717,-0.10958812517791028,False,1.0895194328782656,259.0746912932641,50.0,60.0,,True,-0.07624368128860026,-0.23822732652307388,False,-0.38409246864094154,125.94812413373012,,,,False,-0.13676401638614344,-0.7841223056609896,False,-0.2954709769736038,54.78535064748976,,,,False,1.0,,,,,,,,,,,,,
sub-022,ses-01,nback,sub-022_ses-01_nback,4,11,18,declared_unverified,-0.09551948370183583,-0.2952842001356628,False,-0.454440496750622,141.34285825258723,,,,False,-0.17201252668368627,-0.2514874737476389,False,-1.4598419256449067,285.61065989852654,30.0,,,False,-0.20803537185444143,-0.28304482123675445,False,-1.0480189071373682,198.98151787556498,,,,False,-0.25829804028420145,-0.6735122277804739,False,-0.5580384104665179,91.20634124739979,,,,False,5.0,,,,,,,,,,,,,
sub-022,ses-01,passivemotor,sub-022_ses-01_passivemotor,0,11,17,declared_unverified,-0.13101308638308518,-0.15701310586219464,False,-0.6233037465173927,157.9880839811573,70.0,,,False,0.12022105112286963,0.10230579344704194,False,1.0202962200363377,264.59276792795913,,,,False,0.0643914045000833,0.16941293989828043,False,0.3243843043212595,180.3789232082798,,,,False,-0.06406334251873691,0.020080478099512744,False,-0.13840525382613456,128.75738050669997,100.0,,,False,1.0,,,,,,,,,,,,,
sub-022,ses-02,full,sub-022_ses-02_full,6,6,18,declared_unverified,0.0017153850625470923,,False,0.013675870783139907,203.95482239168598,,,,False,-0.11651581290538959,,False,-0.3338280270043015,69.88474944244199,,,,False,-0.011473249852107736,,False,-0.030484963804557435,43.636001528236655,,,,False,-0.44011012421539,,False,-0.7977800213757511,129.7740572517415,,,,False,6.0,,,,,,,,,,,,,
